# CRIM, ZN, INDUS, CHAS, NOX, RM, AGE, DIS, RAD, TAX, PTRATIO, B, LSTAT, Y
-0.34724293,0.37066900,-1.04569998,-0.27259857,0.79736054,3.44677021,0.65165099,-0.94790636,-0.52300145,-0.85666526,-2.52243411,0.36210855,-1.05593797,50.00000000
-0.07798540,-0.48772236,1.23194490,-0.27259857,0.43455068,-0.26161632,0.86857048,-0.71858828,-0.52300145,-0.03110494,-1.73641788,-1.27750160,-0.39852293,25.00000000
0.25935209,-0.48772236,1.01599907,-0.27259857,1.36749033,0.32534305,0.75833271,-0.47225199,1.66124525,1.53092646,0.80657583,0.40728171,-0.33123951,20.20000000
0.14186412,-0.48772236,1.01599907,-0.27259857,1.36749033,0.59317888,0.76188877,-0.56927484,1.66124525,1.53092646,0.80657583,-1.11226872,0.52802578,16.40000000
-0.39316013,-0.48772236,-0.07978012,3.66839786,-0.56749561,-0.68046597,-0.52540394,-0.06771286,-0.63796180,-0.77945458,0.06679585,0.37570436,0.47335800,22.40000000
-0.34512143,-0.48772236,-0.43725801,-0.27259857,-0.14421743,-0.47816444,-0.24091936,0.43375405,-0.63796180,-0.60127610,1.17646583,0.44105193,-0.61579230,20.40000000
-0.32844406,-0.48772236,-0.43725801,-0.27259857,-0.14421743,0.29969920,0.91835528,0.31358073,-0.63796180,-0.60127610,1.17646583,0.34281128,0.02059668,18.40000000
-0.40926696,2.94584308,-0.90270883,-0.27259857,-1.24128535,1.23000131,-1.45353486,0.62827510,-0.63796180,-0.96951164,0.34421334,0.44105193,-1.27460908,37.30000000
-0.29573205,-0.48772236,-0.43725801,-0.27259857,-0.14421743,-0.49810966,-1.39663795,0.33444943,-0.63796180,-0.60127610,1.17646583,0.33086013,-0.85128425,23.10000000
-0.41527165,-0.48772236,-0.59338101,-0.27259857,-0.74026221,1.28271368,-0.26581176,0.55715988,-0.86788250,-0.98732948,-0.30309415,0.39642699,-1.20872740,34.70000000
-0.41131510,1.22906036,-0.68968118,3.66839786,-0.93030547,0.77126122,-1.45709092,0.50757887,-0.63796180,-0.91605809,-0.39556665,0.40322490,-1.19050481,33.10000000
-0.41497357,-0.48772236,-1.30687771,-0.27259857,-0.83528384,0.20709638,-0.35115713,1.07773662,-0.75292215,-1.10611514,0.11303210,0.41057102,-1.04332233,28.70000000
-0.00684080,-0.48772236,1.23194490,3.66839786,2.73234648,-0.18895873,0.49874053,-0.97428934,-0.52300145,-0.03110494,-1.73641788,-2.94572872,0.33178248,15.60000000
-0.34416664,-0.48772236,-0.43725801,-0.27259857,-0.14421743,-0.26873962,0.56630562,0.31700339,-0.63796180,-0.60127610,1.17646583,0.25597356,-0.33544473,18.20000000
0.44364270,-0.48772236,1.01599907,-0.27259857,0.36544404,-0.95115112,1.04281728,-1.11252669,1.66124525,1.53092646,0.80657583,-0.46087619,1.92696014,17.20000000
-0.35885293,-0.48772236,-0.72032214,-0.27259857,-0.41200566,1.52917963,0.10757424,0.16778501,-0.17812039,-0.60127610,-0.48803915,0.36616537,-1.11060575,31.50000000
-0.40361042,-0.48772236,-0.61672651,-0.27259857,-0.92166714,0.69148033,-2.33543704,0.91549313,-0.75292215,-1.04078303,-0.25685790,0.31507146,-1.09518663,26.60000000
-0.41443796,3.05314200,-1.32876412,-0.27259857,-1.20673203,-0.17471214,-1.07303674,1.17651833,-0.86788250,-0.35776550,-1.73641788,0.40673349,-0.73213654,24.10000000
-0.13323159,-0.48772236,1.23194490,-0.27259857,0.43455068,0.16720594,0.94680374,-0.72852350,-0.52300145,-0.03110494,-1.73641788,-0.29202507,-0.18686052,22.30000000
0.35643435,-0.48772236,1.01599907,-0.27259857,1.36749033,0.04610995,0.51296476,-0.50419680,1.66124525,1.53092646,0.80657583,0.44105193,0.18740348,19.50000000
-0.41202770,0.92862338,-1.30687771,-0.27259857,-0.71434722,1.35537127,-0.97702320,0.10788850,-0.29308074,-1.10611514,-0.02567665,0.40574670,-0.80222343,36.10000000
-0.39445376,0.45650813,-0.76993132,-0.27259857,-1.06851875,-0.98534293,0.28182105,1.97746779,-0.29308074,-0.46467259,0.29797709,0.17341195,-0.02145545,17.60000000
-0.40971292,0.92862338,-1.30687771,-0.27259857,-0.71434722,1.61750847,0.11824242,-0.33078214,-0.29308074,-1.10611514,-0.02567665,0.44105193,-0.86670337,33.40000000
8.14369238,-0.48772236,1.01599907,-0.27259857,1.07378711,-0.46676717,1.11749449,-0.94714576,1.66124525,1.53092646,0.80657583,-3.73033820,1.11675567,8.80000000
0.92965483,-0.48772236,1.01599907,-0.27259857,1.25519204,-1.77887781,1.01081277,-0.96264280,1.66124525,1.53092646,0.80657583,0.44105193,1.82603501,9.70000000
-0.03175381,-0.48772236,1.23194490,3.66839786,2.73234648,-1.25602808,1.11749449,-1.17579832,-0.52300145,-0.03110494,-1.73641788,0.44105193,1.98583312,13.40000000
-0.41077832,-0.48772236,-1.26602310,-0.27259857,-0.57613394,2.10901571,0.52363293,-0.50105936,-0.75292215,-1.27835435,-0.30309415,0.42635969,-0.71391394,39.80000000
-0.39170466,-0.48772236,-0.07978012,-0.27259857,-0.56749561,0.05893188,-0.57163268,0.26613889,-0.63796180,-0.77945458,0.06679585,0.41879429,-0.23592134,24.40000000
-0.38139061,-0.48772236,-0.18045756,-0.27259857,-0.09238745,-0.52802750,0.52007688,0.09676486,-0.63796180,-0.61909395,-0.02567665,0.37307291,0.79575770,17.80000000
-0.26209203,-0.48772236,1.23194490,-0.27259857,0.43455068,-0.31147938,1.11749449,-0.96867999,-0.52300145,-0.03110494,-1.73641788,-0.03052512,-0.87231032,24.30000000
-0.37997240,-0.48772236,-0.72032214,-0.27259857,-0.41200566,-0.28298620,-0.25158753,-0.06804562,-0.17812039,-0.60127610,-0.48803915,0.22012011,-0.24853698,24.00000000
1.15604465,-0.48772236,1.01599907,-0.27259857,0.65914726,-3.45000244,1.11749449,-1.08595355,1.66124525,1.53092646,0.80657583,-2.46976592,0.09488879,23.10000000
-0.28434561,-0.48772236,-0.43725801,-0.27259857,-0.14421743,-0.83147979,0.93969163,-0.00372817,-0.63796180,-0.60127610,1.17646583,0.02298095,0.79856118,13.10000000
0.87254214,-0.48772236,1.01599907,-0.27259857,1.41068198,0.18002787,1.11749449,-0.92038248,1.66124525,1.53092646,0.80657583,-0.41581267,0.33178248,16.70000000
-0.40670766,-0.48772236,-0.16440754,-0.27259857,-0.06647246,0.61312410,0.46317996,-0.53124530,-0.40804109,0.14113426,-0.30309415,0.42668862,-0.34946211,22.80000000
-0.40113961,-0.48772236,-0.37597609,-0.27259857,-0.29970737,0.63022001,0.40272699,-0.48356578,-0.52300145,-0.14395131,1.13022958,0.41758821,-0.45319071,27.50000000
-0.14265257,-0.48772236,1.23194490,-0.27259857,2.73234648,-1.93559027,0.96458403,-1.10962694,-0.52300145,-0.03110494,-1.73641788,0.38414691,2.36570408,14.60000000
0.88104209,-0.48772236,1.01599907,-0.27259857,1.60072524,0.49060346,0.92546740,-0.79402936,1.66124525,1.53092646,0.80657583,-2.70626713,1.48821619,13.40000000
0.43936012,-0.48772236,1.01599907,-0.27259857,1.07378711,-0.13054772,0.33871796,-0.88392167,1.66124525,1.53092646,0.80657583,-2.85011952,1.24291207,11.00000000
-0.38775277,-0.48772236,-0.37597609,-0.27259857,-0.29970737,-0.07926001,0.80456145,-0.59418418,-0.52300145,-0.14395131,1.13022958,0.37888402,0.40607459,19.40000000
-0.39226356,0.04877224,-0.47665354,-0.27259857,-0.26515405,0.13158947,0.91479923,1.21297914,-0.52300145,-0.57751897,-1.50523663,0.39302804,1.09292612,15.00000000
-0.38173294,-0.48772236,-0.72032214,-0.27259857,-0.43792065,2.82276971,0.34583008,-0.42813774,-0.17812039,-0.60127610,-0.48803915,0.31112429,-1.19330828,44.80000000
-0.40887690,0.45650813,-0.76993132,-0.27259857,-1.06851875,0.95789150,-2.19675081,2.42992413,-0.29308074,-0.46467259,0.29797709,0.32252722,-1.27881429,29.60000000
0.51217677,-0.48772236,1.01599907,-0.27259857,1.25519204,-1.08934301,1.11749449,-1.07525775,1.66124525,1.53092646,0.80657583,0.44105193,1.66904037,12.30000000
-0.39610950,-0.48772236,-0.54814912,-0.27259857,-0.53294229,0.20852104,-1.91582230,0.77050554,-0.52300145,-0.72006176,0.52915834,0.40574670,-1.06154493,24.60000000
1.42992942,-0.48772236,1.01599907,-0.27259857,1.00468047,0.37093213,1.08548997,-1.08186538,1.66124525,1.53092646,0.80657583,0.44105193,1.18123561,10.90000000
-0.41366016,0.58526684,-0.91584067,-0.27259857,-1.11171040,0.63022001,-1.24728354,0.76327993,-0.63796180,-0.75569745,0.25174084,0.44105193,-1.03210843,28.00000000
-0.41523206,2.73124524,-1.19452752,-0.27259857,-1.09443374,0.44216506,-1.66334224,0.76347008,-0.75292215,-0.92793666,-0.07191290,0.42712720,-1.16807700,30.80000000
-0.10011205,-0.48772236,1.23194490,-0.27259857,2.73234648,-0.97964430,0.93613557,-1.07877548,-0.52300145,-0.03110494,-1.73641788,-0.05289241,1.23309991,15.40000000
-0.38055692,-0.48772236,1.56899549,-0.27259857,0.59867895,0.20852104,1.07482180,-0.94243961,-0.63796180,0.17083068,1.26893833,0.44105193,0.38364678,18.00000000
-0.39261404,0.37066900,-0.60943104,3.66839786,-0.78345386,2.00359097,-0.59652508,0.27165317,-0.75292215,-1.10017586,0.06679585,0.37384042,-0.85128425,35.20000000
0.53072063,-0.48772236,1.01599907,-0.27259857,1.25519204,-1.27454864,1.07837786,-0.98256077,1.66124525,1.53092646,0.80657583,0.44105193,1.14899564,11.50000000
-0.39851510,-0.48772236,-0.37597609,-0.27259857,-0.29970737,-0.63915087,0.82945385,-0.75300501,-0.52300145,-0.14395131,1.13022958,0.42756577,0.84201505,19.50000000
-0.39352109,0.45650813,-0.76993132,-0.27259857,-1.06851875,0.21849365,-2.12207361,1.71211673,-0.29308074,-0.46467259,0.29797709,0.22362871,-1.27040386,24.80000000
-0.39038426,-0.48772236,-0.54814912,-0.27259857,-0.53294229,-0.28726018,-0.88456571,0.77050554,-0.52300145,-0.72006176,0.52915834,0.44105193,0.01919494,22.20000000
-0.40548739,-0.48772236,2.42256516,-0.27259857,0.46910400,-0.42972605,0.53074505,-0.80106483,-0.63796180,1.79819419,0.76033959,0.44105193,0.09769226,20.10000000
-0.40088345,-0.48772236,2.42256516,-0.27259857,0.46910400,-1.18337049,0.85790231,-0.93844651,-0.63796180,1.79819419,0.76033959,0.42120644,0.75791078,15.20000000
-0.41670151,3.37503876,-1.44840978,3.66839786,-1.32766865,2.33411178,-1.55666052,0.99350121,-0.98284286,-1.24865793,-2.24501662,0.42592112,-1.33067859,50.00000000
-0.37742474,-0.48772236,1.56899549,-0.27259857,0.59867895,0.24128819,1.06059757,-0.92470834,-0.63796180,0.17083068,1.26893833,0.41013244,0.27150775,17.10000000
-0.40514623,-0.48772236,0.40172073,3.66839786,-0.04055747,0.12589084,0.84723414,-0.20523715,-0.52300145,-0.78539387,-0.95040164,0.40640456,-0.30180302,23.00000000
1.33084093,-0.48772236,1.01599907,-0.27259857,0.51229565,-1.39706929,1.02148094,-0.80543822,1.66124525,1.53092646,0.80657583,-0.07887794,1.71810120,12.00000000
-0.40568883,-0.48772236,0.11573841,-0.27259857,0.15812412,0.72567214,0.73699637,-0.66843684,-0.98284286,-0.80321172,1.17646583,0.40322490,-0.86530163,22.00000000
-0.39651703,-0.48772236,-0.61672651,-0.27259857,-0.92166714,-0.71038381,-1.25439566,0.62052658,-0.75292215,-1.04078303,-0.25685790,0.44105193,0.20983129,20.00000000
-0.40202803,-0.48772236,0.40609801,-0.27259857,-1.01668877,-0.70468517,-0.37604953,1.20028678,-0.63796180,-0.70818319,-1.13534664,0.44105193,0.44672498,20.30000000
1.21758198,-0.48772236,1.01599907,-0.27259857,0.36544404,0.53049390,1.11749449,-1.07791981,1.66124525,1.53092646,0.80657583,-3.52640114,1.20085994,17.20000000
-0.41171914,-0.48772236,-1.26602310,-0.27259857,-0.57613394,0.99065865,-0.36182530,-0.45922688,-0.75292215,-1.27835435,-0.30309415,0.44105193,-1.06715188,37.20000000
7.49009263,-0.48772236,1.01599907,-0.27259857,1.19472373,-0.85712365,1.11749449,-1.12645500,1.66124525,1.53092646,0.80657583,0.31024714,1.44756580,5.00000000
-0.39930804,0.45650813,-0.76993132,-0.27259857,-1.06851875,0.21137036,-0.69253862,1.91643039,-0.29308074,-0.46467259,0.29797709,0.19775282,-0.43917333,24.50000000
-0.41686569,2.73124524,-1.04132270,-0.27259857,-1.24992368,-0.56506862,-0.74587948,1.67551331,-0.75292215,0.36088773,1.22270208,0.44105193,0.30094425,18.90000000
-0.41670151,2.94584308,-1.33168230,-0.27259857,-1.03396543,0.49915141,-1.38241372,2.16243392,-0.63796180,-0.76163674,-0.67298414,0.37570436,-0.93398678,24.50000000
-0.41344591,1.76555496,-0.84872237,-0.27259857,-1.29311533,0.39942530,-1.62422561,1.67432489,-0.40804109,-0.68442606,-0.85792914,0.16496939,-0.44057507,24.80000000
-0.38708325,-0.48772236,-0.18045756,-0.27259857,-0.09238745,-0.02654764,0.50585265,-0.25301175,-0.63796180,-0.61909395,-0.02567665,0.40256703,-0.66625486,21.60000000
-0.39709806,-0.48772236,2.42256516,-0.27259857,0.46910400,-1.24035683,1.05704151,-0.96958319,-0.63796180,1.79819419,0.76033959,-0.13841441,1.58633784,7.00000000
0.01156800,-0.48772236,1.01599907,-0.27259857,1.36749033,0.13016481,0.70499185,-0.58372606,1.66124525,1.53092646,0.80657583,0.38107689,0.27991818,17.70000000
0.67497414,-0.48772236,1.01599907,-0.27259857,1.60072524,-0.93690454,0.90057500,-0.94020538,1.66124525,1.53092646,0.80657583,0.44105193,1.43354842,12.80000000
0.31371918,-0.48772236,1.01599907,-0.27259857,1.60072524,0.08030176,0.98947643,-0.81908132,1.66124525,1.53092646,0.80657583,-0.42392630,0.72006386,14.90000000
-0.38719969,-0.48772236,-0.21109853,-0.27259857,0.26178408,-0.69898654,0.07201367,-0.42894587,-0.40804109,-0.10237633,0.34421334,0.44105193,0.20282260,18.30000000
-0.30478625,-0.48772236,1.56899549,-0.27259857,0.59867895,-0.75169891,1.06059757,-0.68883017,-0.63796180,0.17083068,1.26893833,-1.02970710,0.65278044,15.60000000
-0.05008692,-0.48772236,1.01599907,-0.27259857,0.86646718,-0.74884959,-0.72454314,-0.34632671,1.66124525,1.53092646,0.80657583,-0.24422046,0.20702781,19.90000000
-0.41253071,-0.48772236,-0.86769058,-0.27259857,-0.34289902,0.04468529,-1.08370491,1.26607787,-0.52300145,-1.09423658,0.80657583,0.36221820,-0.97744066,22.20000000
0.14876655,-0.48772236,1.01599907,-0.27259857,0.51229565,0.28402795,0.88990683,-0.70817770,1.66124525,1.53092646,0.80657583,0.43348653,0.84481853,16.70000000
-0.40679615,-0.48772236,-1.26602310,-0.27259857,-0.57613394,0.39657599,0.96102797,-0.45067024,-0.75292215,-1.27835435,-0.30309415,0.44105193,-0.97744066,32.50000000
-0.35783410,-0.48772236,-0.72032214,3.66839786,-0.41200566,0.49345278,0.28182105,0.16778501,-0.17812039,-0.60127610,-0.48803915,0.34840310,-0.43636985,25.10000000
-0.34199042,0.37066900,-1.04569998,-0.27259857,0.79736054,0.79405576,1.11749449,-0.84822145,-0.52300145,-0.85666526,-2.52243411,0.38655907,-0.80642864,30.10000000
-0.11158000,-0.48772236,-0.18045756,-0.27259857,-0.09238745,-1.86863131,-1.09437309,-0.60640117,-0.63796180,-0.61909395,-0.02567665,-0.06824251,-0.00183112,16.10000000
-0.41409680,-0.48772236,-0.86769058,-0.27259857,-0.34289902,0.03613734,-1.06948069,1.26607787,-0.52300145,-1.09423658,0.80657583,0.35881924,-0.82745471,20.70000000
-0.41131277,0.37066900,-1.13908197,3.66839786,-0.96572262,1.93805667,-0.67120228,0.67353024,-0.52300145,-1.14175084,-1.64394538,0.22362871,-1.35170466,46.00000000
-0.41310475,1.76555496,-0.84872237,-0.27259857,-1.29311533,0.04326063,-0.81700063,1.67432489,-0.40804109,-0.68442606,-0.85792914,0.44105193,-0.70830699,22.30000000
-0.34974517,-0.48772236,1.56899549,-0.27259857,0.59867895,0.12446618,1.04281728,-0.69767204,-0.63796180,0.17083068,1.26893833,0.31890898,-0.21489527,23.00000000
-0.41292893,-0.48772236,0.11573841,-0.27259857,0.15812412,-0.36276709,0.43473151,-0.61324648,-0.98284286,-0.80321172,1.17646583,0.44105193,-0.66905833,11.90000000
-0.40767642,0.79986468,-0.90562701,-0.27259857,-1.09443374,0.45783631,-0.93790657,1.13844126,-0.40804109,-0.64285108,-0.85792914,0.29719955,-0.74054696,23.30000000
0.19786134,-0.48772236,1.01599907,-0.27259857,1.25519204,-0.33284926,0.49518448,-0.77354096,1.66124525,1.53092646,0.80657583,0.23799202,0.85603243,23.20000000
-0.41433084,0.97154295,-0.73637217,-0.27259857,-1.05124209,0.43504177,-1.00191560,0.80653853,-0.29308074,-0.47061187,-1.08911039,0.42844292,-0.44197680,22.00000000
2.14913017,-0.48772236,1.01599907,-0.27259857,1.60072524,-0.66479473,0.84723414,-0.91691229,1.66124525,1.53092646,0.80657583,0.38129618,1.32561460,10.50000000
-0.41127435,-0.48772236,-0.98441806,-0.27259857,-0.97349712,-0.55082203,-0.57874479,2.00537196,-0.75292215,-0.33400837,0.15926834,0.08701280,0.00237409,17.20000000
0.12262395,-0.48772236,1.01599907,-0.27259857,0.51229565,0.99065865,-0.03466804,-0.59998368,1.66124525,1.53092646,0.80657583,0.19742389,-0.13920143,29.80000000
-0.36629563,-0.48772236,-0.72032214,3.66839786,-0.41200566,0.62879535,-0.07378467,-0.06804562,-0.17812039,-0.60127610,-0.48803915,0.03865998,-0.64522879,29.00000000
-0.40093934,-0.48772236,2.11761463,-0.27259857,0.22723076,-0.61065770,1.01081277,-0.87973842,-0.86788250,-1.30805076,0.29797709,0.14950964,1.78818809,17.30000000
-0.41459981,-0.48772236,-0.86769058,-0.27259857,-0.34289902,-0.32145199,-1.11215337,0.48352520,-0.52300145,-1.09423658,0.80657583,0.43271902,-0.58074885,20.60000000
-0.40219454,-0.48772236,-0.37597609,-0.27259857,-0.29970737,-0.16758885,0.76188877,-0.65317749,-0.52300145,-0.14395131,1.13022958,0.39489198,-0.04528500,20.10000000
-0.14149401,-0.48772236,1.01599907,-0.27259857,0.24450742,-0.58928782,-0.94857474,-0.03377150,1.66124525,1.53092646,0.80657583,0.15411467,0.09629052,20.60000000
-0.35504658,-0.48772236,1.56899549,-0.27259857,0.59867895,-0.19038339,1.04281728,-1.01079769,-0.63796180,0.17083068,1.26893833,0.44105193,0.81398030,17.80000000
0.11040149,-0.48772236,1.01599907,-0.27259857,1.85987514,0.16150730,0.69076762,-0.60697161,1.66124525,1.53092646,0.80657583,0.19610817,-0.68167397,25.00000000
-0.40861375,-0.48772236,-1.03402724,-0.27259857,-0.38609067,-0.60638372,0.00444859,-0.51964630,-0.52300145,-0.66660821,-0.85792914,0.40081274,-0.42235247,22.60000000
-0.40106276,0.58526684,-0.87644514,-0.27259857,-0.87847549,-0.77449345,-0.08445284,1.63068600,-0.17812039,-0.73787960,0.57539459,0.42142573,0.06965751,18.70000000
0.65126626,-0.48772236,1.01599907,-0.27259857,1.25519204,-1.06654848,1.11749449,-1.05277279,1.66124525,1.53092646,0.80657583,0.44105193,1.53447354,11.30000000
1.26067557,-0.48772236,1.01599907,-0.27259857,1.60072524,0.25126080,0.87923865,-0.85207194,1.66124525,1.53092646,0.80657583,-3.60929169,0.75650904,9.60000000
0.62750598,-0.48772236,1.01599907,3.66839786,1.85987514,-0.10347921,1.02503700,-0.79521779,1.66124525,1.53092646,0.80657583,0.23086518,0.69343084,17.80000000
-0.40882566,-0.48772236,0.40609801,-0.27259857,-1.01668877,-0.22457520,-1.78424818,0.81176759,-0.63796180,-0.70818319,-1.13534664,0.44105193,-0.57093668,23.90000000
-0.40438007,-0.48772236,-1.20328208,-0.27259857,-0.94758213,2.54211195,0.26404076,-0.14253596,-0.86788250,-0.78539387,-0.21062165,0.44105193,-1.18349612,38.70000000
-0.40416350,-0.48772236,-0.61672651,-0.27259857,-0.92166714,-0.30720540,-1.01613983,0.91549313,-0.75292215,-1.04078303,-0.25685790,0.35870960,-0.43496811,21.20000000
0.24887386,-0.48772236,1.01599907,-0.27259857,-0.19604741,1.10605601,0.29960133,-0.18275219,1.66124525,1.53092646,0.80657583,0.42328967,-0.79100952,25.00000000
-0.41437159,2.94584308,-0.90270883,-0.27259857,-1.24128535,0.82112427,-1.44642275,0.62827510,-0.63796180,-0.96951164,0.34421334,0.44105193,-1.30684905,28.50000000
-0.41771335,0.28482986,-1.28790950,-0.27259857,-0.14421743,0.41367189,-0.12001342,0.14021360,-0.98284286,-0.66660821,-1.45900038,0.44105193,-1.07556230,24.00000000
0.14460506,-0.48772236,1.01599907,-0.27259857,0.24450742,-0.54084942,-0.54674028,-0.30554004,1.66124525,1.53092646,0.80657583,0.34588130,-0.16863793,20.60000000
4.04714622,-0.48772236,1.01599907,-0.27259857,1.19472373,-1.18479515,1.11749449,-1.09593630,1.66124525,1.53092646,0.80657583,0.44105193,2.51428829,5.00000000
-0.41121729,1.22906036,-1.44257341,-0.27259857,-1.08579541,0.29257590,-0.85967331,2.37544683,-0.98284286,-0.43497618,0.57539459,0.44105193,-0.93538852,22.90000000
-0.38004576,-0.48772236,1.56899549,-0.27259857,0.59867895,-0.65909609,0.95391585,-0.62993194,-0.63796180,0.17083068,1.26893833,0.35103455,0.33318422,18.40000000
-0.32235786,0.37066900,-1.04569998,-0.27259857,0.79736054,1.48501521,0.92191134,-0.81584881,-0.52300145,-0.85666526,-2.52243411,0.40289597,-0.19667268,31.00000000
-0.34119166,0.37066900,-1.04569998,-0.27259857,0.79736054,1.49356317,1.11749449,-0.90341180,-0.52300145,-0.85666526,-2.52243411,0.29182702,-0.68167397,36.00000000
0.98441548,-0.48772236,1.01599907,-0.27259857,0.51229565,-0.90698670,0.67654339,-0.87650591,1.66124525,1.53092646,0.80657583,-0.71404322,0.20282260,20.80000000
-0.38936310,-0.48772236,1.56899549,-0.27259857,0.59867895,-0.60923304,1.05348546,-1.01084523,-0.63796180,0.17083068,1.26893833,0.38776515,1.21487732,13.30000000
-0.41027298,-0.48772236,-1.03402724,-0.27259857,-0.38609067,-0.37701368,-0.76010371,-0.11415642,-0.52300145,-0.66660821,-0.85792914,0.40081274,-0.35647080,23.20000000
-0.41270653,0.92862338,-1.30687771,-0.27259857,-0.71434722,0.80402837,0.06134550,-0.29108882,-0.29308074,-1.10611514,-0.02567665,0.44105193,-0.71811916,28.20000000
-0.40891648,-0.48772236,-1.20328208,-0.27259857,-0.94758213,2.18737194,-1.12637760,-0.14253596,-0.86788250,-0.78539387,-0.21062165,0.40410204,-1.27320734,43.80000000
-0.41507371,1.22906036,-1.44257341,-0.27259857,-1.08579541,0.93224765,-1.21172297,2.37544683,-0.98284286,-0.43497618,0.57539459,0.36375321,-0.94800416,26.60000000
-0.41137448,-0.48772236,0.11573841,-0.27259857,0.15812412,0.98496002,0.79744934,-0.77368357,-0.98284286,-0.80321172,1.17646583,0.44105193,-0.98304761,23.90000000
-0.41548823,1.87285388,-1.07342276,-0.27259857,-0.61068726,0.58605559,-0.43294645,0.92081727,-0.52300145,-0.22710128,-0.39556665,0.44105193,-0.76717998,23.90000000
0.97310938,-0.48772236,1.01599907,-0.27259857,0.90102051,-0.96397305,1.11749449,-1.19310176,1.66124525,1.53092646,0.80657583,-0.26954813,-0.07331975,27.90000000
1.39514948,-0.48772236,1.01599907,-0.27259857,0.21859243,-0.51093159,0.08623790,-0.42148257,1.66124525,1.53092646,0.80657583,0.13229560,0.76772295,19.10000000
-0.41040223,1.44365820,-1.12303194,-0.27259857,-1.01668877,0.64731591,-1.34329709,1.27625077,-0.52300145,-0.06080135,-1.50523663,0.36221820,-1.11621270,30.50000000
2.46940371,-0.48772236,1.01599907,-0.27259857,1.19472373,-1.33295965,0.97525220,-0.99458760,1.66124525,1.53092646,0.80657583,0.44105193,0.99760795,8.30000000
0.47486314,-0.48772236,1.01599907,-0.27259857,1.19472373,-0.76594549,1.07837786,-1.02757822,1.66124525,1.53092646,0.80657583,0.39938737,1.01863402,8.50000000
-0.39385294,0.04877224,-0.47665354,-0.27259857,-0.26515405,-0.93120590,1.11749449,1.08719646,-0.52300145,-0.57751897,-1.50523663,0.32844797,2.42177359,16.50000000
-0.20882877,-0.48772236,1.23194490,-0.27259857,0.43455068,-0.58073987,0.37783459,-0.65084818,-0.52300145,-0.03110494,-1.73641788,-1.41510429,-0.07191802,23.80000000
-0.27954605,-0.48772236,1.56899549,-0.27259857,0.59867895,0.05893188,1.03570517,-0.72448286,-0.63796180,0.17083068,1.26893833,0.44105193,-0.05509716,19.60000000
-0.40560965,0.58526684,-0.87644514,-0.27259857,-0.87847549,0.24413751,-0.02755593,1.63073354,-0.17812039,-0.73787960,0.57539459,0.44105193,-0.83025818,22.20000000
-0.35592219,-0.48772236,-0.72032214,-0.27259857,-0.43792065,-0.43257536,-0.01688776,-0.05872838,-0.17812039,-0.60127610,-0.48803915,0.23766309,-0.14060317,24.30000000
-0.40927977,1.44365820,-1.12303194,-0.27259857,-1.01668877,0.70857624,-0.97702320,-0.00306265,-0.52300145,-0.06080135,-1.50523663,0.40782993,-0.83726687,32.00000000
